c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,65,Don't Starve Together Beta,4/21/2016,$14.99,95% (96%/83%),"$83,783,067.36","5,589,264","±67,052","4,266,379","±58,687",22:39:00,8:09:00
1,121,Starbound,7/22/2016,$14.99,77% (90%/81%),"$40,105,100.43","2,675,457","±46,574","2,591,095","±45,839",52:41:00,25:10:00
1,49,SpeedRunners,4/19/2016,$14.99,90% (94%/84%),"$19,513,097.59","1,301,741","±32,547","1,131,308","±30,348",10:17:00,4:30:00
1,272,Killing Floor 2,11/18/2016,$29.99,59% (84%/75%),"$33,607,663.71","1,120,629","±30,205","1,086,030","±29,737",34:23:00,12:00:00
1,1566,Plague Inc: Evolved,2/18/2016,$14.99,90% (94%),"$16,129,120.08","1,075,992","±29,599","1,040,325","±29,106",10:38:00,5:46:00
1,2117,Defy Gravity,3/18/2016,$1.99,64% (86%),"$1,900,241.05","954,895","±27,889","615,951","±22,409",1:54:00,0:51:00
1,1523,Golf With Friends,1/29/2016,$5.99,83% (92%),"$4,979,097.65","831,235","±26,024","762,250","±24,923",6:06:00,3:30:00
1,517,No Man's Sky,8/12/2016,$59.99,2% (31%/61%),"$48,635,812.68","810,732","±25,702","800,266","±25,536",24:13:00,15:51:00
1,72,Grim Dawn,2/25/2016,$24.99,87% (93%/83%),"$19,934,622.96","797,704","±25,495","722,739","±24,270",58:01:00,17:39:00
1,3164,Who's Your Daddy,5/13/2016,$2.49,45% (78%),"$1,766,114.67","709,283","±24,044","673,403","±23,429",3:15:00,1:26:00
1,2532,Out There Somewhere,3/14/2016,$1.99,87% (93%),"$1,400,848.56","703,944","±23,953","432,490","±18,782",2:24:00,1:36:00
1,3115,Woodle Tree Adventures,3/2/2016,$2.99,23% (65%),"$2,021,138.34","675,966","±23,473","445,518","±19,062",3:16:00,1:57:00
1,1099,The Culling,3/4/2016,$24.99,26% (67%),"$14,415,906.33","576,867","±21,687","550,811","±21,193",17:04:00,4:59:00
1,1894,Polarity,7/15/2016,$9.99,54% (82%),"$5,662,621.71","566,829","±21,498","328,479","±16,370",2:09:00,1:18:00
1,55,Enter the Gungeon,4/5/2016,$14.99,80% (91%/84%),"$8,346,297.09","556,791","±21,307","528,172","±20,753",20:19:00,7:00:00
1,244,American Truck Simulator,2/2/2016,$19.99,83% (92%/76%),"$10,741,726.45","537,355","±20,932","520,269","±20,597",46:28:00,18:59:00
1,3369,Scrap Mechanic,1/19/2016,$19.99,59% (84%),"$10,506,923.91","525,609","±20,703","511,940","±20,432",21:01:00,7:53:00
1,1524,Slime Rancher,1/14/2016,$19.99,93% (95%),"$10,139,747.59","507,241","±20,338","451,712","±19,194",10:44:00,6:42:00
1,2980,Streamline,9/30/2016,$19.99,43% (77%),"$10,037,278.85","502,115","±20,235","209,944","±13,090",3:47:00,2:01:00
1,1773,RimWorld,7/15/2016,$29.99,95% (96%),"$14,955,953.02","498,698","±20,166","479,049","±19,766",52:32:00,25:21:00
1,320,Punch Club,1/8/2016,$9.99,52% (81%/73%),"$4,602,213.18","460,682","±19,384","355,176","±17,022",8:17:00,5:34:00
1,2585,The Hat Man: Shadow Ward,6/10/2016,$1.99,30% (70%),"$869,580.25","436,975","±18,879","277,648","±15,052",2:21:00,1:34:00
1,1923,The Howler,4/21/2016,$1.99,49% (80%),"$840,679.48","422,452","±18,563","265,474","±14,718",3:05:00,2:51:00
1,1904,Saviors,5/6/2016,$1.99,61% (85%),"$779,477.03","391,697","±17,875","237,282","±13,915",3:27:00,3:22:00
1,1652,Blood and Bacon,2/1/2016,$0.79,95% (96%),"$291,555.82","369,058","±17,351","309,257","±15,885",3:17:00,1:50:00
1,13,Ori and the Blind Forest: Definitive Edition,4/27/2016,$19.99,95% (96%/88%),"$6,865,145.71","343,429","±16,739","211,440","±13,136",7:14:00,4:06:00
1,90,SUPERHOT,2/25/2016,$16.74,61% (85%/82%),"$5,459,399.46","326,129","±16,312","310,752","±15,923",5:56:00,3:28:00
1,59,Hyper Light Drifter,3/31/2016,$19.99,90% (94%/84%),"$6,378,429.19","319,081","±16,135","273,163","±14,930",8:01:00,4:19:00
1,2864,Minion Masters,12/2/2016,$19.99,67% (87%),"$6,365,635.59","318,441","±16,119","126,650","±10,168",4:20:00,3:07:00
1,21,INSIDE,7/7/2016,$19.99,93% (95%/87%),"$6,105,205.87","305,413","±15,786","250,097","±14,286",5:32:00,4:13:00
1,1416,Flesh Eaters,5/3/2016,$1.99,45% (78%),"$551,669.79","277,221","±15,040","145,231","±10,888",2:54:00,2:36:00
1,2808,Planet Explorers,11/8/2016,$24.99,35% (73%),"$6,853,032.69","274,231","±14,959","258,853","±14,534",13:24:00,3:20:00
1,3510,Lost Castle,8/31/2016,$9.99,87% (93%),"$2,662,754.58","266,542","±14,748","257,358","±14,492",18:41:00,11:46:00
1,159,Move or Die,1/21/2016,$14.99,64% (86%/80%),"$3,989,063.85","266,115","±14,736","243,049","±14,083",4:33:00,2:34:00
1,2229,BARRIER X,5/27/2016,$2.99,70% (88%),"$760,560.32","254,368","±14,407","131,990","±10,380",2:39:00,2:54:00
1,2309,Unknown Battle,3/14/2016,$3.99,N/A (N/A),"$999,590.76","250,524","±14,298","24,775","±4,497",2:52:00,0:03:00
1,1592,RWBY: Grimm Eclipse,7/5/2016,$19.99,64% (86%),"$4,884,156.70","244,330","±14,120","225,963","±13,579",6:51:00,2:43:00
1,51,ABZU,8/2/2016,$19.99,83% (92%/84%),"$4,875,620.97","243,903","±14,108","185,170","±12,293",2:29:00,1:40:00
1,74,Devil Daggers,2/18/2016,$4.99,95% (96%/83%),"$1,178,707.86","236,214","±13,884","125,582","±10,125",2:23:00,0:36:00
1,646,Gun Rocket,5/2/2016,$0.49,37% (74%),"$108,314.50","221,050","±13,431","142,241","±10,775",5:10:00,3:31:00
1,939,Ultimate Chicken Horse,3/4/2016,$14.99,90% (94%),"$3,307,138.77","220,623","±13,418","204,178","±12,909",7:12:00,4:18:00
1,1073,Bierzerkers,2/25/2016,$4.99,7% (46%),"$1,067,869.98","214,002","±13,215","105,506","±9,280",1:24:00,0:13:00
1,2693,NEKOPARA Vol. 2,2/19/2016,$9.99,99% (98%),"$1,992,795.21","199,479","±12,759","127,932","±10,219",4:19:00,2:19:00
1,3162,Beast Blaster,3/1/2016,$3.99,20% (62%),"$794,217.48","199,052","±12,746","136,261","±10,546",4:34:00,4:13:00
1,1027,A grande bagunÃ§a espacial - The big space mess,4/5/2016,$0.99,64% (86%),"$191,141.28","193,072","±12,553","130,708","±10,329",4:46:00,4:32:00
1,2846,Osiris: New Dawn,9/28/2016,$24.99,43% (77%),"$4,739,478.45","189,655","±12,441","179,403","±12,101",9:26:00,6:00:00
1,2901,Roguelands,6/13/2016,$9.99,61% (85%),"$1,871,186.94","187,306","±12,364","142,241","±10,775",14:42:00,4:50:00
1,56,Salt and Sanctuary,5/17/2016,$17.99,83% (92%/84%),"$3,273,568.34","181,966","±12,187","158,900","±11,388",12:37:00,5:08:00
1,2140,The Chosen RPG,2/4/2016,$1.99,29% (69%),"$356,588.10","179,190","±12,093","100,167","±9,043",3:46:00,3:28:00
1,3541,Masked Shooters 2,1/14/2016,$0.49,32% (71%),"$78,698.41","160,609","±11,449","106,788","±9,337",3:47:00,3:04:00
1,3502,Super Mustache,1/27/2016,$0.99,43% (77%),"$152,870.85","154,415","±11,227","70,480","±7,585",3:16:00,3:03:00
1,2647,Sins Of The Demon,5/13/2016,$1.99,64% (86%),"$306,436.12","153,988","±11,211","79,450","±8,054",3:43:00,3:15:00
1,225,ClusterTruck,9/27/2016,$14.99,73% (89%/76%),"$2,305,072.26","153,774","±11,203","142,668","±10,791",4:03:00,2:15:00
1,3386,Cube Destroyer,2/15/2016,$0.50,70% (88%),"$76,566.50","153,133","±11,180","108,710","±9,420",3:49:00,3:30:00
1,3611,Princess.Loot.Pixel.Again,4/15/2016,$4.99,41% (76%),"$711,913.32","142,668","±10,791","63,005","±7,172",4:06:00,4:33:00
1,321,The Flame in the Flood,2/24/2016,$14.99,54% (82%/73%),"$2,116,183.27","141,173","±10,735","72,402","±7,688",4:23:00,1:25:00
1,2082,Bit Blaster XL,1/22/2016,$0.99,99% (98%),"$139,338.54","140,746","±10,718","105,720","±9,290",1:53:00,0:57:00
1,2196,Yellow: The Yellow Artifact,6/7/2016,$0.99,N/A (N/A),"$138,281.22","139,678","±10,678","97,817","±8,936",3:38:00,3:27:00
1,2667,Under Zero,3/25/2016,$4.99,N/A (N/A),"$691,663.90","138,610","±10,637","69,198","±7,516",2:57:00,3:22:00
1,3635,"Kivi, Toilet and Shotgun",1/15/2016,$0.99,12% (54%),"$133,630.20","134,980","±10,497","65,568","±7,316",2:46:00,3:06:00
1,3036,Bell Ringer,3/18/2016,$6.99,N/A (N/A),"$925,594.83","132,417","±10,396","78,809","±8,021",3:52:00,3:58:00
1,2965,Holodrive,3/24/2016,$9.99,N/A (N/A),"$1,316,442.24","131,776","±10,371","75,178","±7,834",3:48:00,3:14:00
1,3622,Lup,4/1/2016,$0.99,12% (53%),"$130,246.38","131,562","±10,363","61,510","±7,086",3:17:00,3:30:00
1,2198,Vengeance Road,6/17/2016,$1.99,39% (75%),"$255,434.41","128,359","±10,236","64,713","±7,268",2:47:00,3:03:00
1,1199,Half dead,8/1/2016,$1.99,61% (85%),"$255,008.55","128,145","±10,227","114,476","±9,667",1:20:00,0:50:00
1,1540,Montaro,7/25/2016,$0.99,93% (95%),"$119,675.16","120,884","±9,934","100,167","±9,043",2:19:00,0:57:00
1,379,Mother Russia Bleeds,9/5/2016,$14.99,70% (88%/70%),"$1,802,442.57","120,243","±9,907","57,025","±6,823",4:05:00,1:57:00
1,2651,SAMOLIOTIK,3/25/2016,$0.99,77% (90%),"$119,040.57","120,243","±9,907","85,003","±8,330",3:59:00,4:25:00
1,3196,There's Poop In My Soup,3/14/2016,$0.99,67% (87%),"$118,195.11","119,389","±9,872","93,546","±8,739",1:34:00,0:33:00
