c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus or minus,Players,plus or minus,Avg Playtime,Median Play
1,57,Starbound,7/22/2016,$14.99,77% (90%/81%),"$40,121,139.73","2,676,527","±48,213","2,592,593","±47,456",52:32:00,25:15:00
1,24,SpeedRunners,4/19/2016,$14.99,90% (94%/84%),"$19,318,347.51","1,288,749","±33,517","1,113,790","±31,166",10:27:00,4:29:00
1,654,Defy Gravity,3/18/2016,$1.99,64% (86%),"$1,900,587.31","955,069","±28,867","606,981","±23,023",2:04:00,0:52:00
1,553,Out There Somewhere,3/14/2016,$1.99,87% (93%),"$1,376,287.98","691,602","±24,573","429,278","±19,366",2:28:00,1:33:00
1,596,Woodle Tree Adventures,3/2/2016,$2.99,23% (65%),"$2,039,168.04","681,996","±24,402","450,776","±19,845",3:21:00,1:55:00
1,661,Polarity,7/15/2016,$9.99,54% (82%),"$5,762,152.08","576,792","±22,444","330,020","±16,983",2:12:00,1:14:00
1,342,The Howler,4/21/2016,$0.50,49% (80%),"$205,491.00","410,982","±18,950","261,638","±15,123",3:16:00,2:47:00
1,257,Endorlight,4/26/2016,$0.50,11% (52%),"$186,279.50","372,559","±18,043","235,337","±14,343",4:52:00,4:25:00
1,8,Ori and the Blind Forest: Definitive Edition,4/27/2016,$19.99,95% (96%/88%),"$6,825,705.44","341,456","±17,274","209,265","±13,525",7:24:00,4:02:00
1,16,INSIDE,7/7/2016,$19.99,93% (95%/87%),"$6,176,510.20","308,980","±16,433","253,862","±14,896",5:53:00,4:08:00
1,68,Move or Die,1/21/2016,$14.99,64% (86%/80%),"$3,921,953.62","261,638","±15,123","241,512","±14,530",4:39:00,2:27:00
1,399,GooCubelets: The Algoorithm,1/4/2016,$0.49,30% (70%),"$128,090.41","261,409","±15,116","177,475","±12,456",4:59:00,4:32:00
1,774,BARRIER X,5/27/2016,$2.99,70% (88%),"$761,098.52","254,548","±14,916","121,899","±10,324",2:45:00,2:56:00
1,327,They Came From The Moon,1/6/2016,$0.49,16% (58%),"$118,900.95","242,655","±14,564","170,385","±12,205",4:49:00,4:26:00
1,646,Ultimate Chicken Horse,3/4/2016,$14.99,90% (94%),"$3,476,270.94","231,906","±14,238","214,982","±13,709",7:13:00,4:24:00
1,748,Roguelands,6/13/2016,$9.99,61% (85%),"$1,907,770.32","190,968","±12,921","144,541","±11,242",13:07:00,4:20:00
1,26,Salt and Sanctuary,5/17/2016,$17.99,83% (92%/84%),"$3,287,402.65","182,735","±12,639","160,779","±11,856",13:24:00,4:59:00
1,672,Super Mustache,1/27/2016,$0.99,43% (77%),"$162,793.62","164,438","±11,990","76,845","±8,197",3:17:00,2:52:00
1,102,ClusterTruck,9/27/2016,$14.99,73% (89%/77%),"$2,307,230.82","153,918","±11,601","144,541","±11,242",4:06:00,2:18:00
1,309,Lup,4/1/2016,$0.99,12% (53%),"$135,850.77","137,223","±10,954","62,894","±7,416",3:11:00,3:29:00
1,814,Yellow: The Yellow Artifact,6/7/2016,$0.99,N/A (N/A),"$132,906.51","134,249","±10,834","97,428","±9,230",3:25:00,3:27:00
1,633,Bell Ringer,3/18/2016,$6.99,N/A (N/A),"$927,216.51","132,649","±10,770","81,876","±8,461",4:02:00,4:02:00
1,476,Princess.Loot.Pixel.Again,4/15/2016,$4.99,41% (76%),"$652,786.81","130,819","±10,695","55,118","±6,943",4:15:00,4:44:00
1,652,Klabi,4/22/2016,$2.99,9% (49%),"$346,699.47","115,953","±10,069","80,275","±8,378",4:45:00,3:57:00
1,802,Hard Room,1/21/2016,$1.99,N/A (N/A),"$225,285.91","113,209","±9,949","47,113","±6,419",2:28:00,2:43:00
1,854,Montaro,7/25/2016,$0.99,93% (95%),"$111,623.49","112,751","±9,929","91,253","±8,933",2:27:00,1:04:00
1,631,Spaceport Hope,4/15/2016,$1.99,52% (81%),"$220,734.78","110,922","±9,848","64,952","±7,537",3:53:00,3:15:00
1,46,Momodora: Reverie Under the Moonlight,3/4/2016,$6.99,98% (97%/82%),"$748,167.66","107,034","±9,674","82,105","±8,473",4:34:00,2:47:00
1,498,Squirbs,1/6/2016,$4.99,25% (66%),"$515,836.26","103,374","±9,507","65,867","±7,589",3:13:00,3:08:00
1,840,The Last Photon,4/15/2016,$3.99,43% (77%),"$412,462.26","103,374","±9,507","72,957","±7,987",5:14:00,4:15:00
1,822,Magma Tsunami,6/1/2016,$0.99,N/A (N/A),"$100,302.84","101,316","±9,412","78,217","±8,270",7:14:00,6:39:00
1,785,Broken Dreams,2/19/2016,$1.99,26% (67%),"$190,240.02","95,598","±9,143","68,383","±7,733",3:45:00,3:33:00
1,504,Melody's Escape,5/20/2016,$3.39,90% (94%),"$314,775.06","92,854","±9,011","86,679","±8,706",5:42:00,1:59:00
1,301,Guardians of Victoria,4/29/2016,$1.99,1% (23%),"$157,472.68","79,132","±8,318","53,059","±6,812",5:14:00,5:03:00
1,759,Caveman World: Mountains of Unga Boonga,4/26/2016,$1.99,37% (74%),"$154,286.69","77,531","±8,234","58,091","±7,127",5:31:00,3:29:00
1,729,Rabi-Ribi,1/28/2016,$17.99,99% (98%),"$1,349,519.85","75,015","±8,099","67,239","±7,668",14:06:00,6:33:00
1,832,Dungeon of Zolthan,5/11/2016,$0.99,49% (80%),"$73,133.28","73,872","±8,037","49,629","±6,588",3:56:00,3:35:00
1,645,PulseCharge,1/27/2016,$0.99,N/A (N/A),"$72,906.57","73,643","±8,025","48,943","±6,542",3:54:00,3:34:00
1,10,Owlboy,11/1/2016,$24.99,93% (95%/88%),"$1,714,588.89","68,611","±7,746","55,118","±6,943",7:04:00,4:31:00
1,6,N++,8/25/2016,$14.99,98% (97%/90%),"$994,196.76","66,324","±7,616","41,395","±6,017",13:04:00,2:20:00
1,235,Dinocide,1/21/2016,$9.99,N/A (N/A/51%),"$582,616.80","58,320","±7,141","14,866","±3,606",2:32:00,2:16:00
1,700,Redactem,8/1/2016,$3.99,N/A (N/A),"$230,869.38","57,862","±7,113","4,117","±1,897",0:31:00,0:38:00
