c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,48,Starbound,7/22/2016,$14.99,77% (90%/81%),"40,105,100","2,675,457","±46,574","2,591,095","±45,839",52:41:00,25:10:00
1,4,Stardew Valley,2/26/2016,$14.99,98% (97%/88%),"31,582,731","2,106,920","±41,362","1,984,755","±40,152",45:09:00,24:58:00
1,21,Darkest Dungeon,1/19/2016,$24.99,67% (87%/84%),"27,433,447","1,097,777","±29,897","1,043,742","±29,154",26:17:00,12:25:00
1,1145,Defy Gravity,3/18/2016,$1.99,64% (86%),"1,900,241","954,895","±27,889","615,951","±22,409",1:54:00,0:51:00
1,29,Grim Dawn,2/25/2016,$24.99,87% (93%/83%),"19,934,623","797,704","±25,495","722,739","±24,270",58:01:00,17:39:00
1,355,Out There Somewhere,3/14/2016,$1.99,87% (93%),"1,400,849","703,944","±23,953","432,490","±18,782",2:24:00,1:36:00
1,438,Polarity,7/15/2016,$9.99,54% (82%),"5,662,622","566,829","±21,498","328,479","±16,370",2:09:00,1:18:00
1,149,Punch Club,1/8/2016,$9.99,52% (81%/73%),"4,602,213","460,682","±19,384","355,176","±17,022",8:17:00,5:34:00
1,372,The Hat Man: Shadow Ward,6/10/2016,$1.99,30% (70%),"869,580","436,975","±18,879","277,648","±15,052",2:21:00,1:34:00
1,466,The Howler,4/21/2016,$1.99,49% (80%),"840,679","422,452","±18,563","265,474","±14,718",3:05:00,2:51:00
1,343,Saviors,5/6/2016,$1.99,61% (85%),"779,477","391,697","±17,875","237,282","±13,915",3:27:00,3:22:00
1,24,Hyper Light Drifter,3/31/2016,$19.99,90% (94%/84%),"6,378,429","319,081","±16,135","273,163","±14,930",8:01:00,4:19:00
1,861,Minion Masters,12/2/2016,$19.99,67% (87%),"6,365,636","318,441","±16,119","126,650","±10,168",4:20:00,3:07:00
1,246,Tharsis,1/11/2016,$14.99,29% (69%/61%),"4,478,892","298,792","±15,614","99,953","±9,033",3:19:00,1:43:00
1,1456,Flesh Eaters,5/3/2016,$1.99,45% (78%),"551,670","277,221","±15,040","145,231","±10,888",2:54:00,2:36:00
1,844,Planet Explorers,11/8/2016,$24.99,35% (73%),"6,853,033","274,231","±14,959","258,853","±14,534",13:24:00,3:20:00
1,1105,Lost Castle,8/31/2016,$9.99,87% (93%),"2,662,755","266,542","±14,748","257,358","±14,492",18:41:00,11:46:00
1,96,Reigns,8/11/2016,$2.99,83% (92%/77%),"724,800","242,408","±14,065","223,186","±13,496",3:20:00,2:03:00
1,635,Sheltered,3/15/2016,$14.99,49% (80%),"3,444,807","229,807","±13,694","169,792","±11,772",11:16:00,4:25:00
1,1214,Gun Rocket,5/2/2016,$0.49,37% (74%),"108,315","221,050","±13,431","142,241","±10,775",5:10:00,3:31:00
1,933,Unforgiving Trials: The Darkest Crusade,6/15/2016,$1.99,N/A (N/A),"388,038","194,994","±12,615","116,185","±9,739",4:11:00,4:20:00
1,703,Osiris: New Dawn,9/28/2016,$24.99,43% (77%),"4,739,478","189,655","±12,441","179,403","±12,101",9:26:00,6:00:00
1,842,Roguelands,6/13/2016,$9.99,61% (85%),"1,871,187","187,306","±12,364","142,241","±10,775",14:42:00,4:50:00
1,20,Salt and Sanctuary,5/17/2016,$17.99,83% (92%/84%),"3,273,568","181,966","±12,187","158,900","±11,388",12:37:00,5:08:00
1,1128,The Chosen RPG,2/4/2016,$1.99,29% (69%),"356,588","179,190","±12,093","100,167","±9,043",3:46:00,3:28:00
1,1139,Sins Of The Demon,5/13/2016,$1.99,64% (86%),"306,436","153,988","±11,211","79,450","±8,054",3:43:00,3:15:00
1,94,Beholder,11/9/2016,$9.99,83% (92%/77%),"1,425,253","142,668","±10,791","123,019","±10,021",5:04:00,3:24:00
1,1203,Princess.Loot.Pixel.Again,4/15/2016,$4.99,41% (76%),"711,913","142,668","±10,791","63,005","±7,172",4:06:00,4:33:00
1,958,Learn Japanese To Survive - Hiragana Battle,2/16/2016,$6.99,95% (96%),"967,395","138,397","±10,629","79,450","±8,054",2:15:00,0:41:00
1,1146,Vengeance Road,6/17/2016,$1.99,39% (75%),"255,434","128,359","±10,236","64,713","±7,268",2:47:00,3:03:00
1,720,HomeBehind,6/2/2016,$5.99,77% (90%),"738,166","123,233","±10,030","117,680","±9,801",13:52:00,9:03:00
1,5,ICEY,11/17/2016,$10.99,90% (94%/88%),"1,295,655","117,894","±9,810","108,496","±9,411",3:53:00,3:00:00
1,739,Invasion: Brain Craving,6/22/2016,$0.99,7% (45%),"116,291","117,466","±9,792","73,470","±7,745",3:40:00,3:33:00
1,920,Plantera,1/28/2016,$2.99,70% (88%),"350,586","117,253","±9,783","82,440","±8,204",12:32:00,3:15:00
1,680,Spaceport Hope,4/15/2016,$1.99,52% (81%),"229,509","115,331","±9,703","69,412","±7,528",3:22:00,3:11:00
1,690,Divinity: Original Sin 2,9/15/2016,$44.99,93% (95%),"5,025,383","111,700","±9,549","92,478","±8,689",10:27:00,5:53:00
1,931,Space Pilgrim Episode Two: Epsilon Indi,1/8/2016,$1.99,67% (87%),"217,183","109,137","±9,439","78,382","±7,999",4:18:00,3:30:00
1,198,WASTED,6/7/2016,$12.99,56% (83%/68%),"1,356,650","104,438","±9,233","43,356","±5,949",5:09:00,2:00:00
1,1152,Squirbs,1/6/2016,$4.99,25% (66%),"520,083","104,225","±9,224","69,198","±7,516",2:58:00,3:08:00
1,664,EvilMaze,6/17/2016,$1.59,43% (77%),"160,623","101,021","±9,081","75,819","±7,867",4:40:00,4:48:00
1,854,Shoppe Keep,5/20/2016,$9.99,49% (80%),"1,004,934","100,594","±9,062","95,895","±8,848",6:15:00,3:40:00
1,40,The Banner Saga 2,4/19/2016,$19.99,80% (91%/82%),"1,887,056","94,400","±8,778","63,859","±7,220",13:22:00,9:33:00
1,945,Elements II: Hearts of Light,4/1/2016,$4.99,N/A (N/A),"471,056","94,400","±8,778","57,025","±6,823",3:46:00,3:32:00
1,615,Necropolis,7/1/2016,$29.99,30% (70%),"2,824,668","94,187","±8,769","87,779","±8,465",7:49:00,5:26:00
1,124,Epistory - Typing Chronicle,3/30/2016,$14.99,98% (97%/75%),"1,408,655","93,973","±8,759","43,783","±5,979",3:20:00,1:45:00
1,736,Outrage,4/6/2016,$3.99,N/A (N/A),"368,987","92,478","±8,689","52,326","±6,536",3:31:00,3:31:00
