c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,33,Don't Starve Together Beta,4/21/2016,$14.99,95% (96%/83%),"83,783,067","5,589,264","±67,052","4,266,379","±58,687",22:39:00,8:09:00
1,22,Darkest Dungeon,1/19/2016,$24.99,67% (87%/84%),"27,433,447","1,097,777","±29,897","1,043,742","±29,154",26:17:00,12:25:00
1,1432,Plague Inc: Evolved,2/18/2016,$14.99,90% (94%),"16,129,120","1,075,992","±29,599","1,040,325","±29,106",10:38:00,5:46:00
1,362,Defy Gravity,3/18/2016,$1.99,64% (86%),"1,900,241","954,895","±27,889","615,951","±22,409",1:54:00,0:51:00
1,1470,Golf With Friends,1/29/2016,$5.99,83% (92%),"4,979,098","831,235","±26,024","762,250","±24,923",6:06:00,3:30:00
1,1409,Who's Your Daddy,5/13/2016,$2.49,45% (78%),"1,766,115","709,283","±24,044","673,403","±23,429",3:15:00,1:26:00
1,1320,Factorio,2/25/2016,$20,99% (98%),"14,087,420","704,371","±23,960","686,431","±23,654",61:03:00,25:31:00
1,1222,Out There Somewhere,3/14/2016,$1.99,87% (93%),"1,400,849","703,944","±23,953","432,490","±18,782",2:24:00,1:36:00
1,1527,The Culling,3/4/2016,$24.99,26% (67%),"14,415,906","576,867","±21,687","550,811","±21,193",17:04:00,4:59:00
1,965,Polarity,7/15/2016,$9.99,54% (82%),"5,662,622","566,829","±21,498","328,479","±16,370",2:09:00,1:18:00
1,1262,Youtubers Life,5/18/2016,$14.99,52% (81%),"7,699,584","513,648","±20,466","499,553","±20,184",11:43:00,7:48:00
1,1338,RimWorld,7/15/2016,$29.99,95% (96%),"14,955,953","498,698","±20,166","479,049","±19,766",52:32:00,25:21:00
1,161,Punch Club,1/8/2016,$9.99,52% (81%/73%),"4,602,213","460,682","±19,384","355,176","±17,022",8:17:00,5:34:00
1,929,The Hat Man: Shadow Ward,6/10/2016,$1.99,30% (70%),"869,580","436,975","±18,879","277,648","±15,052",2:21:00,1:34:00
1,1069,The Howler,4/21/2016,$1.99,49% (80%),"840,679","422,452","±18,563","265,474","±14,718",3:05:00,2:51:00
1,1094,Saviors,5/6/2016,$1.99,61% (85%),"779,477","391,697","±17,875","237,282","±13,915",3:27:00,3:22:00
1,48,SUPERHOT,2/25/2016,$16.74,61% (85%/82%),"5,459,399","326,129","±16,312","310,752","±15,923",5:56:00,3:28:00
1,1475,Minion Masters,12/2/2016,$19.99,67% (87%),"6,365,636","318,441","±16,119","126,650","±10,168",4:20:00,3:07:00
1,266,Tharsis,1/11/2016,$14.99,29% (69%/61%),"4,478,892","298,792","±15,614","99,953","±9,033",3:19:00,1:43:00
1,407,Godus Wars,2/3/2016,$14.99,1% (19%),"4,469,283","298,151","±15,597","25,202","±4,536",2:09:00,0:33:00
1,894,Flesh Eaters,5/3/2016,$1.99,45% (78%),"551,670","277,221","±15,040","145,231","±10,888",2:54:00,2:36:00
1,578,Gnomoria,2/23/2016,$14.99,56% (83%),"4,081,897","272,308","±14,906","223,827","±13,515",30:47:00,2:31:00
1,1373,Kingdom: New Lands,8/9/2016,$14.99,83% (92%),"3,995,465","266,542","±14,748","162,958","±11,533",8:34:00,4:08:00
1,159,Poly Bridge,7/12/2016,$11.99,77% (90%/73%),"3,175,348","264,833","±14,700","255,222","±14,431",8:01:00,3:58:00
1,601,BARRIER X,5/27/2016,$2.99,70% (88%),"760,560","254,368","±14,407","131,990","±10,380",2:39:00,2:54:00
1,738,They Came From The Moon,1/6/2016,$0.79,17% (59%),"197,577","250,097","±14,286","172,996","±11,883",4:31:00,4:29:00
1,103,Reigns,8/11/2016,$2.99,83% (92%/77%),"724,800","242,408","±14,065","223,186","±13,496",3:20:00,2:03:00
1,1200,Sheltered,3/15/2016,$14.99,49% (80%),"3,444,807","229,807","±13,694","169,792","±11,772",11:16:00,4:25:00
1,632,Gun Rocket,5/2/2016,$0.49,37% (74%),"108,315","221,050","±13,431","142,241","±10,775",5:10:00,3:31:00
1,1453,Ultimate Chicken Horse,3/4/2016,$14.99,90% (94%),"3,307,139","220,623","±13,418","204,178","±12,909",7:12:00,4:18:00
1,261,Five Nights at Freddy's: Sister Location,10/7/2016,$7.99,87% (93%/62%),"1,728,652","216,352","±13,288","152,920","±11,172",5:13:00,2:01:00
1,77,Offworld Trading Company,4/28/2016,$39.99,41% (76%/79%),"7,823,444","195,635","±12,636","177,908","±12,050",8:37:00,4:22:00
1,155,Turmoil,6/2/2016,$9.99,73% (89%/73%),"1,830,648","183,248","±12,229","178,335","±12,065",8:27:00,5:15:00
1,535,The Chosen RPG,2/4/2016,$1.99,29% (69%),"356,588","179,190","±12,093","100,167","±9,043",3:46:00,3:28:00
1,422,This Is the Police,8/2/2016,$14.99,70% (88%),"2,452,349","163,599","±11,555","148,435","±11,007",10:04:00,6:04:00
1,544,Sins Of The Demon,5/13/2016,$1.99,64% (86%),"306,436","153,988","±11,211","79,450","±8,054",3:43:00,3:15:00
