c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,7,Don't Starve Together Beta,4/21/2016,$14.99,95% (96%/83%),"$83,286,599","5,556,144","±69,194","4,240,636","±60,558",22:28:00,8:06:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,14,Starbound,7/22/2016,$14.99,77% (90%/81%),"$40,121,140","2,676,527","±48,213","2,592,593","±47,456",52:32:00,25:15:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,41,Killing Floor 2,11/18/2016,$29.99,59% (84%/75%),"$33,505,458","1,117,221","±31,214","1,082,229","±30,723",34:23:00,11:51:00
1,418,Plague Inc: Evolved,2/18/2016,$14.99,90% (94%),"$16,603,149","1,107,615","±31,080","1,069,422","±30,541",10:34:00,5:42:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,126,Infestation: Survivor Stories,,Free,6% (43%),,"1,022,080","±29,859","972,451","±29,127",44:01:00,6:40:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,82,No Man's Sky,8/12/2016,$59.99,2% (31%/61%),"$47,923,851","798,864","±26,406","786,514","±26,202",24:35:00,15:42:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,392,Who's Your Daddy,5/13/2016,$2.49,45% (78%),"$1,768,216","710,127","±24,899","679,709","±24,361",3:18:00,1:27:00
1,378,Factorio,2/25/2016,$20,99% (98%),"$14,088,180","704,409","±24,799","686,799","±24,488",60:19:00,24:48:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
