c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,103,Don't Starve Together Beta,4/21/2016,$14.99,95% (96%/83%),"$82,715,030","5,518,014","±63,014","4,219,265","±55,199",22:44:00,8:01:00
1,185,Starbound,7/22/2016,$14.99,77% (90%/81%),"$40,005,192","2,668,792","±43,993","2,592,339","±43,362",54:05:00,25:49:00
1,21,Stardew Valley,2/26/2016,$14.99,98% (97%/88%),"$30,868,442","2,059,269","±38,675","1,929,489","±37,443",44:37:00,23:52:00
1,79,SpeedRunners,4/19/2016,$14.99,90% (94%/84%),"$19,574,272","1,305,822","±30,829","1,142,212","±28,839",10:57:00,4:10:00
1,2733,Plague Inc: Evolved,2/18/2016,$14.99,90% (94%),"$16,514,363","1,101,692","±28,325","1,062,892","±27,823",11:41:00,5:56:00
1,436,Killing Floor 2,11/18/2016,$19.99,59% (84%/75%),"$21,598,715","1,080,476","±28,051","1,050,277","±27,658",32:41:00,11:42:00
1,76,Darkest Dungeon,1/19/2016,$24.99,67% (87%/84%),"$26,924,676","1,077,418","±28,012","1,024,283","±27,314",26:33:00,12:34:00
1,3008,Defy Gravity,3/18/2016,$1.99,64% (86%),"$1,854,990","932,156","±26,060","567,857","±20,350",1:52:00,0:53:00
1,117,Grim Dawn,2/25/2016,$24.99,87% (93%/83%),"$20,285,458","811,743","±24,323","730,129","±23,070",54:10:00,18:20:00
1,945,No Man's Sky,8/12/2016,$59.99,2% (31%/61%),"$48,558,846","809,449","±24,288","798,363","±24,122",25:13:00,15:25:00
1,4768,Golf With Friends,1/29/2016,$5.99,83% (92%),"$4,704,342","785,366","±23,925","721,528","±22,934",5:58:00,3:33:00
1,4790,Who's Your Daddy,5/13/2016,$4.99,45% (78%),"$3,611,867","723,821","±22,970","682,919","±22,313",2:59:00,1:23:00
1,3984,Factorio,2/25/2016,$20,99% (98%),"$14,109,460","705,473","±22,678","685,786","±22,360",61:28:00,27:09:00
1,4862,Out There Somewhere,3/14/2016,$1.99,87% (93%),"$1,319,072","662,850","±21,983","408,643","±17,267",2:27:00,1:45:00
1,3858,Woodle Tree Adventures,3/2/2016,$2.99,23% (65%),"$1,953,346","653,293","±21,825","410,936","±17,315",4:37:00,1:55:00
1,182,Firewatch,2/9/2016,$19.99,67% (87%/81%),"$11,439,337","572,253","±20,428","503,445","±19,163",4:37:00,4:04:00
1,385,American Truck Simulator,2/2/2016,$19.99,83% (92%/76%),"$11,435,519","572,062","±20,425","555,433","±20,126",45:33:00,17:50:00
1,3551,The Culling,3/4/2016,$24.99,26% (67%),"$14,085,663","563,652","±20,275","537,084","±19,792",15:37:00,4:45:00
1,78,Enter the Gungeon,4/5/2016,$14.99,80% (91%/84%),"$8,334,530","556,006","±20,137","529,057","±19,643",19:08:00,7:28:00
1,1796,Polarity,7/15/2016,$9.99,54% (82%),"$5,495,309","550,081","±20,029","320,148","±15,285",2:07:00,1:14:00
1,3645,Astroneer Alpha,12/15/2016,$19.99,77% (90%),"$10,583,486","529,439","±19,651","513,193","±19,347",9:03:00,6:07:00
1,3614,Scrap Mechanic,1/19/2016,$19.99,56% (83%),"$10,117,359","506,121","±19,213","493,697","±18,977",22:16:00,8:34:00
1,3238,Slime Rancher,1/14/2016,$19.99,93% (95%),"$10,079,138","504,209","±19,177","451,457","±18,148",10:54:00,6:38:00
1,3835,RimWorld,7/15/2016,$29.99,95% (96%),"$15,023,790","500,960","±19,115","481,847","±18,748",55:50:00,26:47:00
1,4241,Youtubers Life,5/18/2016,$14.99,52% (81%),"$7,486,471","499,431","±19,086","484,140","±18,792",11:31:00,7:27:00
1,3498,Streamline,9/30/2016,$19.99,43% (77%),"$9,364,655","468,467","±18,486","192,853","±11,865",4:04:00,1:33:00
1,539,Punch Club,1/8/2016,$9.99,52% (81%/73%),"$4,496,689","450,119","±18,121","343,275","±15,827",8:13:00,5:21:00
1,3235,The Hat Man: Shadow Ward,6/10/2016,$1.99,30% (70%),"$833,738","418,964","±17,483","274,276","±14,148",2:17:00,1:34:00
1,3118,The Howler,4/21/2016,$1.99,49% (80%),"$796,084","400,042","±17,084","248,282","±13,462",3:16:00,2:55:00
1,3326,Saviors,5/6/2016,$1.99,62% (85%),"$742,833","373,283","±16,503","224,581","±12,803",3:15:00,3:19:00
1,3283,Blood and Bacon,2/1/2016,$0.79,95% (96%),"$293,987","372,136","±16,478","313,650","±15,129",3:06:00,1:35:00
1,1483,Endorlight,4/26/2016,$2.99,12% (53%),"$1,071,541","358,375","±16,171","216,936","±12,584",7:42:00,4:27:00
1,17,Ori and the Blind Forest: Definitive Edition,4/27/2016,$19.99,95% (96%/88%),"$7,011,073","350,729","±15,998","215,216","±12,534",7:28:00,4:06:00
1,165,SUPERHOT,2/25/2016,$16.74,62% (85%/82%),"$5,624,841","336,012","±15,659","320,530","±15,294",5:28:00,3:24:00
1,1598,The Deer,3/28/2016,$0.49,35% (73%),"$162,492","331,616","±15,556","206,997","±12,292",7:36:00,3:22:00
1,5573,Minion Masters,12/2/2016,$19.99,67% (87%),"$6,311,882","315,752","±15,180","130,162","±9,748",4:28:00,3:27:00
1,82,Hyper Light Drifter,3/31/2016,$19.99,90% (94%/84%),"$6,174,331","308,871","±15,013","266,822","±13,955",7:29:00,4:03:00
1,37,INSIDE,7/7/2016,$19.99,93% (95%/87%),"$6,128,494","306,578","±14,958","250,002","±13,508",5:42:00,4:12:00
1,6393,Godus Wars,2/3/2016,$14.99,1% (19%),"$4,541,161","302,946","±14,869","25,612","±4,325",1:49:00,0:37:00
1,6663,Gnomoria,2/23/2016,$14.99,56% (83%),"$4,151,510","276,952","±14,217","230,124","±12,960",24:47:00,2:41:00
1,943,Tharsis,1/11/2016,$14.99,29% (69%/61%),"$4,119,987","274,849","±14,163","96,522","±8,395",3:31:00,2:06:00
1,5012,Flesh Eaters,5/3/2016,$1.99,45% (78%),"$537,441","270,071","±14,039","142,776","±10,210",2:31:00,2:33:00
1,1772,Kingdom: New Lands,8/9/2016,$14.99,83% (92%),"$4,019,718","268,160","±13,990","159,214","±10,781",8:37:00,3:25:00
1,3440,Planet Explorers,11/8/2016,$19.99,35% (73%),"$5,349,044","267,586","±13,975","250,576","±13,524",14:17:00,3:52:00
1,4624,Lost Castle,8/31/2016,$9.99,87% (93%),"$2,667,460","267,013","±13,960","259,750","±13,769",20:00:00,11:37:00
1,42,Pony Island,1/4/2016,$4.99,95% (96%/86%),"$1,278,987","256,310","±13,677","159,596","±10,794",3:32:00,2:19:00
